species_name,t_number,code,genome_link
Aeromonas_dhakensis,T05186,adh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/285/935/GCA_002285935.1_ASM228593v1
Aeromonas_caviae,T05190,acav,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/705/GCA_000959705.2_ASM95970v2
Aeromonas_sp._CU5,T05327,aem,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/586/745/GCA_002586745.1_ASM258674v1
Aeromonas_sp._ASNIH3,T05427,aea,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/903/405/GCA_002903405.1_ASM290340v1
Aeromonas_rivipollensis,T05453,arv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/015/165/GCA_003015165.1_ASM301516v1
Aeromonas_sp._ASNIH5,T05873,aes,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/902/865/GCA_002902865.1_ASM290286v1
Aeromonas_encheleia,T06531,ael,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/545/GCA_900637545.1_51438_G01
Aeromonas_simiae,T07073,asim,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/892/695/GCA_014892695.1_ASM1489269v1
Aeromonas_allosaccharophila,T07074,aall,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/026/615/GCA_016026615.1_ASM1602661v1
Aeromonas_jandaei,T07712,ajd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/127/195/GCA_016127195.1_ASM1612719v1
Aeromonas_rivuli,T07884,ariv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/149/575/GCA_020149575.1_ASM2014957v1
Aeromonas_sanarellii,T08465,asaa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/425/GCA_019334425.1_ASM1933442v1
Aeromonas_sp._2692-1,T08798,aej,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/085/505/GCA_013085505.1_ASM1308550v1
Aeromonas_bestiarum,T08822,abes,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/751/155/GCA_028751155.1_ASM2875115v1
Tolumonas_auensis,T00904,tau,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/065/GCA_000023065.1_ASM2306v1
Oceanimonas_sp._GK1,T01667,oce,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/075/GCA_000243075.1_ASM24307v1
Oceanisphaera_avium,T04855,ocm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/875/GCA_002157875.1_ASM215787v1
Oceanisphaera_profunda,T04856,opf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/157/895/GCA_002157895.1_ASM215789v1
Zobellella_denitrificans,T05100,zdf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/407/485/GCA_002407485.1_ASM240748v1
Kangiella_koreensis,T00973,kko,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/085/GCA_000024085.1_ASM2408v1
Kangiella_geojedonensis,T03889,kge,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/765/GCA_000981765.1_ASM98176v1
Kangiella_sediminilitoris,T04467,ksd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/405/GCA_001708405.1_ASM170840v1
Kangiella_profundi,T05254,kpd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/838/765/GCA_002838765.1_ASM283876v1
Dichelobacter_nodosus,T00517,dno,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/345/GCA_000015345.1_ASM1534v1
Cardiobacterium_hominis,T05791,chj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/305/GCA_900637305.1_50618_F02
Suttonella_sp._R2A3,T07824,sutr,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/513/215/GCA_021513215.1_ASM2151321v1
Ignatzschineria_rhizosphaerae,T08009,ign,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/655/595/GCA_022655595.1_ASM2265559v1
Wohlfahrtiimonas_chitiniclastica,T09056,wcn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/062/115/GCA_030062115.1_ASM3006211v1
Gilliamella_apicola,T03066,gap,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/985/GCA_000599985.1_ASM59998v1
Frischella_perrara,T03525,fpp,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/807/275/GCA_000807275.1_ASM80727v1
Zophobihabitans_entericus,T06493,orb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/745/665/GCA_011745665.1_ASM1174566v1
Steroidobacter_denitrificans,T04296,sdf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/945/GCA_001579945.1_ASM157994v1
Solimonas_sp._K1W22B-7,T05591,sok,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/428/335/GCA_003428335.1_ASM342833v1
Sinimarinibacterium_sp._NLF-5-8,T06400,sini,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/092/425/GCA_010092425.1_ASM1009242v1
Flagellatimonas_centrodinii,T07957,fce,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/918/765/GCA_016918765.2_ASM1691876v2
Immundisolibacter_cernigliae,T04454,gbi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/697/225/GCA_001697225.1_ASM169722v1
Sulfuricaulis_limicola,T05241,slim,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/735/GCA_002355735.1_ASM235573v1
Sulfurifustis_variabilis,T05321,sva,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/415/GCA_002355415.1_ASM235541v1
Acidiferrobacter_sp._SPIII_3,T05469,acii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/184/265/GCA_003184265.1_ASM318426v1
Acidiferrobacter_thiooxydans,T07877,aty,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/075/GCA_001705075.2_ASM170507v2/
Salinisphaera_sp._LB1,T05476,saln,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/177/035/GCA_003177035.1_ASM317703v1
Candidatus_Comchoanobacter_bicostacola,T08376,gbac,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/172/705/GCA_024172705.1_ASM2417270v1
Thiolapillus_brandeum,T03600,tbn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/615/GCA_000828615.1_ASM82861v1
Sedimenticola_thiotaurini,T03943,seds,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/875/GCA_001007875.1_ASM100787v1
Candidatus_Pseudothioglobus_singularis,T04071,tsn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/385/GCA_001281385.1_ASM128138v1
Candidatus_Thioglobus_sp._NP1,T05818,thin,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/326/015/GCA_003326015.1_ASM332601v1
Candidatus_Thioglobus_autotrophicus,T04079,tho,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/165/GCA_001293165.1_ASM129316v1
Pseudohongiella_spirulinae,T04158,pspi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/425/GCA_001444425.1_ASM144442v1
Endosymbiont_of_Sipalinus_gigas,T06000,eof,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/296/475/GCA_004296475.1_ASM429647v1
Endosymbiont_of_Rhynchophorus_ferrugineus,T07618,eor,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/296/495/GCA_004296495.1_ASM429649v1
Endosymbiont_of_Pachyrhynchus_infernalis,T07678,eop,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/296/515/GCA_004296515.1_ASM429651v1
Candidatus_Reidiella_endopervernicosa,T06650,rev,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/343/005/GCA_013343005.1_ASM1334300v1
Candidatus_Azoamicus_ciliaticola,T07098,acil,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/860/225/GCA_902860225.1_Azoamicus_ciliaticola_assembly
Celerinatantimonas_diazotrophica,T07531,cdiz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/914/590/485/GCA_914590485.1_CEDIAZO_illumina_assembly
Candidatus_Steffania_adelgidicola,T07600,sade,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/541/225/GCA_020541225.1_ASM2054122v1
Baumannia_cicadellinicola_Hc_(Homalodisca_coagulata),T00349,bci,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/185/GCA_000013185.1_ASM1318v1
Candidatus_Baumannia_cicadellinicola_BGSS,T03277,bcib,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/265/GCA_000754265.1_ASM75426v1
Candidatus_Baumannia_cicadellinicola_B-GSS,T04544,bcig,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/269/425/GCA_001269425.1_ASM126942v1
Candidatus_Ruthia_magnifica_(Calyptogena_magnifica),T00438,rma,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/105/GCA_000015105.1_ASM1510v1
Candidatus_Ruthia_endofausta,T06701,reo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/342/985/GCA_013342985.1_ASM1334298v1
Candidatus_Vesicomyosocius_okutanii,T00530,vok,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/405/GCA_000010405.1_ASM1040v1
Candidatus_Endoriftia_persephone,T08211,eps,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/733/635/GCA_023733635.1_ASM2373363v1
Endosymbiont_of_Bathymodiolus_septemdierum,T04606,ebh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/755/GCA_001547755.1_ASM154775v1
Bathymodiolus_thermophilus_thioautotrophic_gill_symbiont,T07716,bthg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/265/GCA_003711265.1_ASM371126v1
Candidatus_Ecksteinia_adelgidicola,T08924,eag,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/541/345/GCA_020541345.1_ASM2054134v1
Gamma_proteobacterium_HdN1,T01300,gpb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/198/515/GCA_000198515.1_ASM19851v1
Endosymbiont_of_unidentified_scaly_snail_isolate_Monju,T04530,enm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/295/GCA_000801295.1_ASM80129v1
Endosymbiont_of_Euscepes_postfasciatus,T07679,eeu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/296/535/GCA_004296535.1_ASM429653v1
Isorropodon_fossajaponicum_endosymbiont,T07680,ifo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/592/615/GCA_016592615.1_ASM1659261v1
Abyssogena_phaseoliformis_symbiont,T07717,aphf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/592/595/GCA_016592595.1_ASM1659259v1
Neisseria_meningitidis_MC58_(serogroup_B),T00027,nme,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1
Neisseria_meningitidis_alpha710_(serogroup_B),T01932,nmp,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/165/GCA_000152165.1_ASM15216v1
Neisseria_meningitidis_H44,T01946,nmh,76_(serogroup_B)/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/445/GCA_000191445.1_ASM19144v1
Neisseria_meningitidis_G2136_(serogroup_B),T01929,nmd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/425/GCA_000191425.1_ASM19142v1
Neisseria_meningitidis_M01-240149_(serogroup_B),T01930,nmm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/465/GCA_000191465.1_ASM19146v1
Neisseria_meningitidis_M01-240355_(serogroup_B),T01947,nms,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/485/GCA_000191485.1_ASM19148v1
Neisseria_meningitidis_M04-240196_(serogroup_B),T01948,nmq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/505/GCA_000191505.1_ASM19150v1
Neisseria_meningitidis_NZ-05,T01949,nmz,33_(serogroup_B)/https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/191/525/GCA_000191525.1_ASM19152v1
Neisseria_meningitidis_Z2491_(serogroup_A),T00031,nma,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/105/GCA_000009105.1_ASM910v1
Neisseria_meningitidis_WUE_2594_(serogroup_A),T01931,nmw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/215/GCA_000253215.1_ASM25321v1
Neisseria_meningitidis_510612_(serogroup_A),T03438,nmx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/626/595/GCA_000626595.1_ASM62659v1
Neisseria_meningitidis_FAM18_(serogroup_C),T00458,nmc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/465/GCA_000009465.1_ASM946v1
Neisseria_meningitidis_053442_(serogroup_C),T00633,nmn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/105/GCA_000014105.1_ASM1410v1
Neisseria_meningitidis_8013_(serogroup_C),T01928,nmt,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/965/GCA_000026965.1_ASM2696v1
Neisseria_meningitidis_alpha14_(cnl_strain),T00954,nmi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/083/565/GCA_000083565.1_ASM8356v1
Neisseria_gonorrhoeae_FA_1090,T00237,ngo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/845/GCA_000006845.1_ASM684v1
Neisseria_gonorrhoeae_NCCP11945,T00728,ngk,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/105/GCA_000020105.1_ASM2010v1
Neisseria_lactamica,T01368,nla,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/295/GCA_000196295.1_ASM19629v1
Neisseria_elongata,T03569,nel,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/818/035/GCA_000818035.1_ASM81803v1
Neisseria_weaveri,T04355,nwe,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/086/555/GCA_900086555.1_34903_D01
Neisseria_mucosa_FDAARGOS_260,T04958,nsi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/715/GCA_002073715.2_ASM207371v2
Neisseria_mucosa_ATCC_19696,T05436,nmj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/028/315/GCA_003028315.1_ASM302831v1
Neisseria_chenwenguii,T05718,nei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/216/145/GCA_002216145.1_ASM221614v1
Neisseria_sp._KEM232,T05913,nek,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/237/445/GCA_002237445.1_ASM223744v1
Neisseria_flavescens,T06171,nfv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/285/GCA_005221285.1_ASM522128v1
Neisseria_subflava,T06236,nsf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/305/GCA_005221305.1_ASM522130v1
Neisseria_zalophi,T06266,nzl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/807/015/GCA_008807015.1_ASM880701v1
Neisseria_animalis,T06425,naq,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/806/995/GCA_008806995.1_ASM880699v1
Neisseria_brasiliensis,T06557,nbl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/671/065/GCA_009671065.1_ASM967106v1
Neisseria_zoodegmatis,T06683,nzo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/305/GCA_900187305.1_51470_F02
Neisseria_canis,T06799,nci,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/765/GCA_900636765.1_44503_A02
Neisseria_cinerea,T06828,ncz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/315/GCA_900475315.1_43721_G02
Neisseria_animaloris,T06907,nani,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/345/GCA_900638345.1_57428_C01
Neisseria_bacilliformis,T06984,nbc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/055/025/GCA_014055025.1_ASM1405502v1
Neisseria_wadsworthii,T07067,nwd,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/885/GCA_014054885.1_ASM1405488v1
Neisseria_shayeganii,T07084,nsg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/965/GCA_014054965.1_ASM1405496v1
Neisseria_musculi,T07094,nmus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/297/595/GCA_014297595.1_ASM1429759v1
Neisseria_sicca,T07263,nsc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/753/665/GCA_017753665.1_ASM1775366v1
Neisseria_perflava,T07577,npf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/334/725/GCA_019334725.1_ASM1933472v1
Neisseria_dentiae,T07671,ndn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/055/005/GCA_014055005.1_ASM1405500v1
Neisseria_weixii,T07968,nwx,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/327/085/GCA_002327085.1_ASM232708v1
Neisseria_dumasiana,T08094,ndu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/885/GCA_022870885.1_ASM2287088v1
Neisseria_arctica,T08172,naw,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/905/GCA_022870905.1_ASM2287090v1
Neisseria_macacae,T08217,nmb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/495/GCA_022749495.1_ASM2274949v1
Snodgrassella_alvi,T03063,salv,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/600/005/GCA_000600005.1_ASM60000v1
Kingella_kingae,T04151,kki,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/475/GCA_001458475.1_KKKWG1
Kingella_oralis,T06724,koa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/985/GCA_014054985.1_ASM1405498v1
Kingella_potus,T08248,kpot,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/985/GCA_022870985.1_ASM2287098v1
Vitreoscilla_filiformis,T04960,vff,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/655/GCA_002222655.1_ASM222265v1
Vitreoscilla_sp._C1,T05336,vit,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/955/GCA_002951955.2_ASM295195v2
Vitreoscilla_stercoraria,T08153,vst,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/945/GCA_022870945.1_ASM2287094v1
Vitreoscilla_massiliensis,T08422,vms,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/925/GCA_022870925.1_ASM2287092v1
Eikenella_corrodens,T05039,ecor,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/105/GCA_900187105.1_50618_F01
Eikenella_exigua,T06211,eex,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/805/035/GCA_008805035.1_ASM880503v1
Simonsiella_muelleri,T05344,smur,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/835/GCA_002951835.1_ASM295183v1
Alysiella_filiformis,T06725,aff,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/525/GCA_014054525.1_ASM1405452v1
Alysiella_crassa,T08264,acrs,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/871/045/GCA_022871045.1_ASM2287104v1
Conchiformibius_steedae,T06730,cste,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/054/725/GCA_014054725.1_ASM1405472v1
Conchiformibius_kuhniae,T08263,ckh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/871/025/GCA_022871025.1_ASM2287102v1
Aquella_oligotrophica,T05482,nba,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/892/535/GCA_002892535.1_ASM289253v1
Paralysiella_testudinis,T07686,ptes,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/894/345/GCA_016894345.1_ASM1689434v1
Morococcus_cerebrosus,T08033,mcer,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/515/GCA_022749515.1_ASM2274951v1
Uruburuella_suis,T08067,usu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/845/GCA_022870845.1_ASM2287084v1
Uruburuella_testudinis,T08135,ute,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/870/865/GCA_022870865.1_ASM2287086v1
Wielerella_bovis,T08126,wbo,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/354/465/GCA_022354465.1_ASM2235446v1
Chromobacterium_violaceum,T00147,cvi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/705/GCA_000007705.1_ASM770v1
Chromobacterium_vaccinii,T04565,cvc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/275/GCA_001855275.1_ASM185527v1
Chromobacterium_sp._ATCC_53434,T05234,chro,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/848/345/GCA_002848345.1_ASM284834v1
Chromobacterium_phragmitis_IIBBL_112-1,T05549,chri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/475/GCA_003325475.1_ASM332547v1
Chromobacterium_phragmitis_IIBBL_274-1,T05744,chrb,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/495/GCA_003325495.1_ASM332549v1
Chromobacterium_rhizoryzae,T05688,crz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/443/515/GCA_003443515.1_ASM344351v1
Chromobacterium_paludis,T06224,chrm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/275/125/GCA_008275125.1_ASM827512v1
Chromobacterium_haemolyticum,T06734,chae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/936/155/GCA_009936155.1_ASM993615v1
Iodobacter_ciconiae,T05767,iod,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/345/GCA_003952345.1_ASM395234v1
Iodobacter_fluviatilis,T06803,ifl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/194/535/GCA_004194535.1_ASM419453v1
Laribacter_hongkongensis,T00884,lhk,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/025/GCA_000021025.1_ASM2102v1
Pseudogulbenkiania_sp._NH8B,T01619,pse,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/535/GCA_000283535.1_ASM28353v1
Jeongeupia_sp._USM3,T04552,jeu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/185/GCA_001808185.1_ASM180818v1
Jeongeupia_sp._HS-3,T08604,jes,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/140/455/GCA_015140455.1_ASM1514045v1
Aquaspirillum_sp._LM1,T04696,aql,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/002/905/GCA_002002905.1_ASM200290v1
Aquitalea_magnusonii,T05698,amah,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/217/795/GCA_002217795.2_ASM221779v2
Aquitalea_sp._USM4,T05865,aqs,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/328/945/GCA_004328945.1_ASM432894v1
Deefgea_piscis,T06622,dee,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/284/055/GCA_013284055.1_ASM1328405v1
Deefgea_tanakiae,T08586,dtk,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/665/765/GCA_019665765.1_ASM1966576v1
Chitinibacter_bivalviorum,T06696,chiz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/403/565/GCA_013403565.1_ASM1340356v1
Chitinibacter_fontanus,T06720,cfon,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/423/785/GCA_013423785.1_ASM1342378v1
Vogesella_sp._XCS3,T07617,vog,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/616/155/GCA_020616155.1_ASM2061615v1
Chitiniphilus_sp._CD1,T08496,chic,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/642/115/GCA_025642115.1_ASM2564211v1
Ralstonia_pseudosolanacearum_GMI1000,T00071,rso,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1
Ralstonia_pseudosolanacearum_FQY_4,T02751,rse,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/545/GCA_000348545.1_ASM34854v1
Ralstonia_pseudosolanacearum_RS_476,T05645,rpu,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/595/305/GCA_003595305.1_ASM359530v1
Ralstonia_pseudosolanacearum_RS,T09041,rnc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/243/235/GCA_018243235.1_ASM1824323v1
Ralstonia_solanacearum_CFBP2957,T01272,rsc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/197/855/GCA_000197855.1_ASM19785v1
Ralstonia_solanacearum_PSI07,T01273,rsl,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/475/GCA_000283475.1_ASM28347v1
Ralstonia_solanacearum_Po82,T02005,rsn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/325/GCA_000215325.1_ASM21532v1
Ralstonia_solanacearum_CMR15,T02725,rsm,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/427/195/GCA_000427195.1_ASM42719v1
Ralstonia_solanacearum_UY031,T06155,rsy,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/299/555/GCA_001299555.1_ASM129955v1
Ralstonia_pickettii_12J,T00762,rpi,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/205/GCA_000020205.1_ASM2020v1
Ralstonia_pickettii_12D,T00925,rpf,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/425/GCA_000023425.1_ASM2342v1
Ralstonia_pickettii_DTP0602,T03172,rpj,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/471/925/GCA_000471925.1_ASM47192v1
Ralstonia_mannitolilytica,T03778,rmn,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/954/135/GCA_000954135.2_ASM95413v2
Ralstonia_insidiosa,T04471,rin,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/935/GCA_001653935.1_ASM165393v1
Ralstonia_syzygii_subsp._celebesensis,T07219,rsg,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/743/075/GCA_016743075.1_ASM1674307v1
Ralstonia_wenshanensis,T08691,rwe,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/173/085/GCA_021173085.1_ASM2117308v1
Cupriavidus_necator_H16,T00416,reh,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/285/GCA_000009285.2_ASM928v2
Cupriavidus_necator_N-1,T01564,cnc,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/215/GCA_000219215.1_ASM21921v1
